insertId,jsonPayload.levelname,jsonPayload.message,"labels.""compute.googleapis.com/resource_id""","labels.""compute.googleapis.com/resource_name""","labels.""compute.googleapis.com/zone""","labels.""ml.googleapis.com/endpoint""","labels.""ml.googleapis.com/job_id/log_area""","labels.""ml.googleapis.com/job_state""","labels.""ml.googleapis.com/tpu_worker_id""","labels.""ml.googleapis.com/trial_id""","labels.""ml.googleapis.com/trial_type""",logName,receiveLocation,receiveTimestamp,resource.labels.job_id,resource.labels.project_id,resource.labels.task_name,resource.type,severity,textPayload,timestamp
11qzfhlf9whwg9,ERROR,"	debug_error_string = ""{""created"":""@1697995352.793333152"",""description"":""Error received from peer ipv4:108.177.120.95:443"",""file"":""src/core/lib/surface/call.cc"",""file_line"":1066,""grpc_message"":""The service is currently unavailable."",""grpc_status"":14}""",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.795016304Z
11qzfhlf9whwg8,ERROR,"	details = ""The service is currently unavailable.""",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.795009001Z
11qzfhlf9whwg7,ERROR,"	status = StatusCode.UNAVAILABLE",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.795001429Z
11qzfhlf9whwg6,ERROR,grpc._channel._InactiveRpcError: <_InactiveRpcError of RPC that terminated with:,5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.794991323Z
11qzfhlf9whwg5,ERROR,"    raise _InactiveRpcError(state)",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.794924026Z
11qzfhlf9whwg4,ERROR,"  File ""/opt/python3.7/lib/python3.7/site-packages/grpc/_channel.py"", line 849, in _end_unary_response_blocking",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.794695945Z
11qzfhlf9whwg3,ERROR,"    return _end_unary_response_blocking(state, call, False, None)",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.794681919Z
11qzfhlf9whwg2,ERROR,"  File ""/opt/python3.7/lib/python3.7/site-packages/grpc/_channel.py"", line 946, in __call__",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.794372464Z
11qzfhlf9whwg1,ERROR,"    return callable_(*args, **kwargs)",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.794355387Z
11qzfhlf9whwg0,ERROR,"  File ""/opt/python3.7/lib/python3.7/site-packages/google/api_core/grpc_helpers.py"", line 67, in error_remapped_callable",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.794247170Z
11qzfhlf9whwfz,ERROR,Traceback (most recent call last):,5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.794186528Z
15wbaxjfayvuzp,INFO,PipelineState.PIPELINE_STATE_RUNNING,5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:20:58.886833552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,INFO,,2023-10-22T17:20:55.906168996Z
